id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
MV014014,ބޮޑުފިނޮޅު,Bodufinolhu,bodufinolhu-mv014014,MV014014,2.316,73.305
MV014015,ބޮޑުރެހާ,Bodurehaa,bodurehaa-mv014015,MV014015,2.268,73.229
MV014001,Burunee,Burunee,burunee-mv014001,MV014001,2.559,73.106
MV014016,ދިއްފުށި,Dhiffushi,dhiffushi-mv014016,MV014016,2.515,73.232
MV014004,ދިޔަމިގިލި,Dhiyamigili,dhiyamigili-mv014004,MV014004,2.34,73.338
MV014017,ދޮނަންފުށި,Dhonanfushi,dhonanfushi-mv014017,MV014017,2.49,73.315
MV014018,ދުރުރެހާ,Dhururehaa,dhururehaa-mv014018,MV014018,2.169,73.012
MV014019,އެކުރުއްފުށި,Ekuruffushi,ekuruffushi-mv014019,MV014019,2.266,73.227
MV014020,އެލާ,Elaa,elaa-mv014020,MV014020,2.173,73.08
MV014021,ފެންފުށި,Fenfushi,fenfushi-mv014021,MV014021,2.292,73.27
MV014022,ފެންމީރުފުށި,Fenmeerufushi,fenmeerufushi-mv014022,MV014022,2.271,73.234
MV014023,ފޮންދޫ,Fondhoo,fondhoo-mv014023,MV014023,2.315,72.983
MV014024,ފޮނިދާނި,Fonidhaani,fonidhaani-mv014024,MV014024,2.301,73.285
MV014025,ފުނައްޑު,Funaddu,funaddu-mv014025,MV014025,2.198,73.129
MV014026,ފުށި,Fushi,fushi-mv014026,MV014026,2.193,72.969
MV014009,ގާދިއްފުށި,Gaadhiffushi,gaadhiffushi-mv014009,MV014009,2.253,73.213
MV014027,ގާލީ,Gaalee,gaalee-mv014027,MV014027,2.547,73.155
MV014028,ގާތުރެހާ,Gaathurehaa,gaathurehaa-mv014028,MV014028,2.17,73.016
MV014005,ގުރައިދޫ,Guraidhoo,guraidhoo-mv014005,MV014005,2.322,73.317
MV014029,ހަތިފުށި,Hathifushi,hathifushi-mv014029,MV014029,2.287,73.263
MV014030,ހިކަނދިޅޮހި,Hikan'dhilhohi,hikandhilhohi-mv014030,MV014030,2.52,73.227
MV014008,ހިރިލަންދޫ,Hirilandhoo,hirilandhoo-mv014008,MV014008,2.27,72.932
MV014031,ހިރިޔަންފުށި,Hiriyanfushi,hiriyanfushi-mv014031,MV014031,2.211,73.15
MV014032,ހޮނޑެލިފުށި,Hon'delifushi,hondelifushi-mv014032,MV014032,2.495,73.313
MV014033,ހުޅިޔަންފުށި,Hulhiyanfushi,hulhiyanfushi-mv014033,MV014033,2.259,73.218
MV014034,ކާއްޑޫ,Kaaddoo,kaaddoo-mv014034,MV014034,2.282,73.254
